date,value,open,high,low,close,volume
2015-01-05,12.79,12.17,13.06,11.99,12.79,19214892.0
2015-01-06,12.81,12.51,13.17,12.41,12.81,13889067.0
2015-01-07,12.37,12.79,12.79,12.36,12.37,11167398.0
2015-01-08,12.24,12.37,12.45,12.19,12.24,6891785.0
2015-01-09,12.21,12.24,12.55,12.18,12.21,8515094.0
2015-01-12,12.54,12.23,12.81,12.23,12.54,11348854.0
2015-01-13,12.81,12.71,12.99,12.55,12.81,13327085.0
2015-01-14,12.54,12.8,12.93,12.39,12.54,6989417.0
2015-01-15,12.42,12.58,12.67,12.26,12.42,5957550.0
2015-01-16,12.57,12.43,12.61,12.32,12.57,7273230.0
2015-01-19,12.17,12.52,12.85,12.01,12.17,10800447.0
2015-01-20,12.37,12.21,12.5,12.16,12.37,8750457.0
2015-01-21,12.54,12.42,12.64,12.37,12.54,9254367.0
2015-01-22,12.65,12.6,12.69,12.45,12.65,9529465.0
2015-01-23,12.74,12.69,13.01,12.67,12.74,14148146.0
2015-01-26,12.74,12.8,12.96,12.57,12.74,9529417.0
2015-01-27,12.71,12.74,12.84,12.58,12.71,10637339.0
2015-01-28,12.84,12.78,12.99,12.67,12.84,10893355.0
2015-01-29,12.63,12.88,12.9,12.52,12.63,9244837.0
2015-01-30,12.16,12.61,12.7,12.15,12.16,10189346.0
2015-02-02,12.22,12.07,12.36,11.91,12.22,5250615.0
2015-02-03,12.3,12.45,12.49,12.27,12.3,5874292.0
2015-02-04,12.16,12.5,12.5,12.07,12.16,9158483.0
2015-02-05,11.99,12.18,12.24,11.98,11.99,6962999.0
2015-02-06,11.51,12.07,12.11,11.41,11.51,10964533.0
2015-02-09,11.51,11.55,11.63,11.45,11.51,4800813.0
2015-02-10,11.8,11.59,11.86,11.47,11.8,5956994.0
2015-02-11,11.63,11.69,11.86,11.58,11.63,7137068.0
2015-02-12,12.03,11.64,12.06,11.58,12.03,10284868.0
2015-02-13,13.24,12.23,13.24,12.09,13.24,36938736.0
2015-02-16,14.56,13.93,14.56,13.85,14.56,37752752.0
2015-02-17,16.02,15.5,16.02,14.56,16.02,35038792.0
2015-02-25,15.85,16.68,16.7,15.69,15.85,50831084.0
2015-02-26,15.66,15.85,16.14,15.34,15.66,33074280.0
2015-02-27,16.07,15.55,16.14,15.28,16.07,36840416.0
2015-03-02,16.45,16.55,17.68,16.3,16.45,50259944.0
2015-03-03,16.32,16.2,17.37,16.05,16.32,32862700.0
2015-03-04,16.52,16.2,17.12,16.0,16.52,29897664.0
2015-03-05,18.17,16.36,18.17,16.33,18.17,37251620.0
2015-03-06,16.62,18.79,18.94,16.46,16.62,51454068.0
2015-03-09,16.27,16.04,16.52,15.59,16.27,25923700.0
2015-03-10,16.27,16.24,16.8,16.11,16.27,21563600.0
2015-03-11,15.89,16.08,16.36,15.75,15.89,18830944.0
2015-03-12,15.61,16.07,16.07,15.35,15.61,19381482.0
2015-03-13,15.88,15.73,16.0,15.5,15.88,17509616.0
2015-03-16,16.25,16.06,16.36,15.89,16.25,20111494.0
2015-03-17,16.36,16.3,16.73,16.04,16.36,22345450.0
2015-03-18,16.95,16.36,17.15,16.21,16.95,26989560.0
2015-03-19,17.12,16.95,17.73,16.87,17.12,26297276.0
2015-03-20,16.78,16.84,17.04,16.52,16.78,21847552.0
2015-03-23,16.87,16.77,16.94,16.67,16.87,19659896.0
2015-03-24,16.97,16.89,17.44,16.49,16.97,27855116.0
2015-03-25,16.58,16.9,17.05,16.51,16.58,21332516.0
2015-03-26,17.23,16.64,17.47,16.52,17.23,29585812.0
2015-03-27,16.79,17.31,17.31,16.49,16.79,19541604.0
2015-03-30,16.75,16.85,17.03,16.62,16.75,18493964.0
2015-03-31,16.65,16.75,17.05,16.61,16.65,18740490.0
2015-04-01,18.31,17.16,18.31,17.16,18.31,33653024.0
2015-04-02,19.01,19.06,19.84,18.28,19.01,46844936.0
2015-04-03,19.49,18.76,19.62,18.44,19.49,30811412.0
2015-04-07,19.19,19.49,19.56,18.97,19.19,19310894.0
2015-04-08,18.39,19.18,19.34,18.06,18.39,22123344.0
2015-04-09,17.79,18.33,18.33,16.95,17.79,22485984.0
2015-04-10,18.08,18.01,18.41,17.98,18.08,15968479.0
2015-04-13,18.81,18.08,18.81,17.63,18.81,21565772.0
2015-04-14,18.13,18.71,18.78,18.1,18.13,16044519.0
2015-04-15,17.79,17.81,18.1,17.62,17.79,12814342.0
2015-04-16,18.33,17.75,18.52,17.61,18.33,15081869.0
2015-04-17,18.16,18.62,18.74,18.11,18.16,16322590.0
2015-04-20,17.41,17.98,17.98,17.38,17.41,16906920.0
2015-04-21,17.83,17.41,17.95,17.41,17.83,12765327.0
2015-04-22,18.19,17.95,18.68,17.89,18.19,15582787.0
2015-04-23,20.01,18.43,20.01,18.43,20.01,44092612.0
2015-04-28,18.91,20.33,21.13,18.71,18.91,38541900.0
2015-04-29,19.44,18.91,20.33,18.27,19.44,22242888.0
2015-04-30,19.06,19.76,19.88,19.02,19.06,16195042.0
2015-05-04,19.5,19.06,20.52,19.06,19.5,18616192.0
2015-05-05,18.55,19.38,19.38,18.36,18.55,15861749.0
2015-05-06,18.47,18.9,19.25,18.33,18.47,13004855.0
2015-05-07,18.67,18.35,18.84,18.13,18.67,11216962.0
2015-05-08,18.9,18.81,19.02,18.42,18.9,13363321.0
2015-05-11,20.04,19.0,20.27,18.87,20.04,24883248.0
2015-05-12,20.49,20.05,20.71,19.7,20.49,24122056.0
2015-05-13,20.06,20.4,20.49,19.62,20.06,17684038.0
2015-05-14,19.94,20.06,20.33,19.41,19.94,15377906.0
2015-05-15,19.32,19.89,20.08,19.18,19.32,14810972.0
2015-05-18,19.86,19.49,19.89,19.22,19.86,20802678.0
2015-05-19,20.51,20.19,21.25,19.95,20.51,25295408.0
2015-05-20,21.03,20.51,21.82,20.46,21.03,27573210.0
2015-05-21,23.13,21.29,23.13,20.97,23.13,25884628.0
2015-05-22,24.15,23.88,25.44,23.88,24.15,35226424.0
2015-06-04,26.56,26.56,26.56,25.42,26.56,26618544.0
2015-06-05,25.25,27.29,27.83,25.1,25.25,41700208.0
2015-06-08,23.81,25.02,25.02,23.27,23.81,27889092.0
2015-06-09,23.56,23.81,24.45,23.36,23.56,18440816.0
2015-06-10,24.09,23.56,24.76,23.51,24.09,27089912.0
2015-06-11,23.51,24.03,24.03,23.16,23.51,19465342.0
2015-06-12,23.8,23.51,24.3,23.35,23.8,20611178.0
2015-06-15,24.07,23.82,24.62,23.05,24.07,30313828.0
2015-06-16,23.15,23.67,23.83,22.87,23.15,14302634.0
2015-06-17,22.53,23.16,23.44,22.27,22.53,18420604.0
2015-06-18,21.49,22.54,23.15,21.41,21.49,20124874.0
2015-06-19,19.67,21.24,21.25,19.56,19.67,20494700.0
2015-06-23,20.05,19.63,20.13,18.46,20.05,19698324.0
2015-06-24,20.2,20.13,20.49,19.54,20.2,18303012.0
2015-06-25,19.69,20.29,20.53,19.44,19.69,15842653.0
2015-06-26,17.73,19.03,19.35,17.73,17.73,20233600.0
2015-06-29,15.95,18.14,18.2,15.95,15.95,23964296.0
2015-06-30,17.55,15.67,17.55,14.48,17.55,29600160.0
2015-07-01,16.84,17.51,18.42,16.71,16.84,24569668.0
2015-07-02,15.65,16.84,17.53,15.17,15.65,25548324.0
2015-07-03,15.74,15.41,16.82,14.49,15.74,27533630.0
2015-07-06,16.12,17.22,17.22,14.58,16.12,29927440.0
2015-07-07,14.93,15.54,15.84,14.51,14.93,43615564.0
2015-07-08,14.2,13.44,14.8,13.44,14.2,50934240.0
2015-07-09,15.62,14.2,15.62,13.82,15.62,23035292.0
2015-07-10,17.18,16.49,17.18,15.92,17.18,20639228.0
2015-07-13,18.9,17.76,18.9,17.22,18.9,34798244.0
2015-07-14,17.86,18.43,19.39,17.74,17.86,33044958.0
2015-07-15,16.07,17.46,17.79,16.07,16.07,24041062.0
2015-07-16,16.58,16.07,16.98,15.25,16.58,18401440.0
2015-07-17,17.65,16.78,17.95,16.63,17.65,18337870.0
2015-07-20,17.47,17.65,17.92,17.1,17.47,19199258.0
2015-07-21,17.42,17.16,17.94,16.68,17.42,15405724.0
2015-07-22,17.65,17.58,18.05,17.44,17.65,15652722.0
2015-07-23,17.98,17.65,18.17,17.22,17.98,16703622.0
2015-07-24,17.66,18.01,18.44,17.63,17.66,18690972.0
2015-07-27,15.9,17.15,17.63,15.9,15.9,18120818.0
2015-07-28,15.82,15.19,16.19,14.46,15.82,20432636.0
2015-07-29,17.4,16.1,17.4,15.6,17.4,19988240.0
2015-07-30,16.46,17.16,17.72,16.26,16.46,16235133.0
2015-07-31,17.66,16.2,17.67,16.13,17.66,22472594.0
2015-08-03,18.36,17.35,18.38,17.25,18.36,24998538.0
2015-08-04,18.95,18.39,19.22,17.53,18.95,26199892.0
2015-08-05,18.89,18.64,20.01,18.56,18.89,20054380.0
2015-08-06,20.78,18.73,20.78,18.17,20.78,36039944.0
2015-08-07,20.65,21.29,21.51,20.3,20.65,33839592.0
2015-08-10,21.23,20.95,21.57,20.02,21.23,23223110.0
2015-08-11,20.87,20.83,21.79,20.67,20.87,20455348.0
2015-08-12,19.69,20.49,20.63,19.63,19.69,17419232.0
2015-08-13,20.28,19.69,20.4,19.38,20.28,13159482.0
2015-08-14,20.25,20.21,21.08,20.21,20.25,13438002.0
2015-08-17,20.4,19.92,20.72,19.73,20.4,10952022.0
2015-08-18,18.36,20.39,20.39,18.36,18.36,17193762.0
2015-08-19,18.58,17.79,18.94,16.58,18.58,16660495.0
2015-08-20,17.28,18.11,18.24,17.16,17.28,11173274.0
2015-08-21,15.82,16.84,17.17,15.75,15.82,16608306.0
2015-08-24,14.24,15.03,15.03,14.24,14.24,16116787.0
2015-08-25,12.82,12.96,14.61,12.82,12.82,20030502.0
2015-08-26,14.1,13.22,14.1,12.66,14.1,24752948.0
2015-08-27,15.51,14.61,15.51,14.61,15.51,20984908.0
2015-08-28,16.21,16.04,16.6,15.2,16.21,23096968.0
2015-08-31,15.84,16.16,16.77,15.57,15.84,17855032.0
2015-09-01,15.76,15.57,15.77,14.4,15.76,19669450.0
2015-09-02,14.55,15.0,16.36,14.54,14.55,13588024.0
2015-09-07,15.15,15.19,15.9,14.94,15.15,12883263.0
2015-09-08,16.46,15.38,16.51,15.02,16.46,14837895.0
2015-09-09,17.63,16.71,17.79,16.57,17.63,22124800.0
2015-09-10,16.74,17.09,17.47,16.65,16.74,13476708.0
2015-09-11,16.79,16.69,17.15,16.42,16.79,9325096.0
2015-09-14,15.2,16.79,17.2,15.13,15.2,13342659.0
2015-09-15,14.98,14.84,15.69,14.69,14.98,9765580.0
2015-09-16,16.48,15.26,16.48,15.03,16.48,13523834.0
2015-09-17,16.79,16.84,17.86,16.71,16.79,24131444.0
2015-09-18,17.53,17.16,18.05,16.99,17.53,18440910.0
2015-09-21,17.81,17.32,18.03,16.91,17.81,15053106.0
2015-09-22,17.55,17.81,18.0,17.32,17.55,11133638.0
2015-09-23,18.75,17.35,19.3,17.22,18.75,23487284.0
2015-09-24,18.36,18.9,18.98,18.07,18.36,16082967.0
2015-09-25,18.59,18.32,19.12,17.88,18.59,17607396.0
2015-09-28,19.63,18.81,19.89,18.7,19.63,17536508.0
2015-09-29,19.41,19.21,19.86,18.92,19.41,13059353.0
2015-09-30,19.07,20.03,20.33,18.9,19.07,15353378.0
2015-10-08,19.28,20.06,20.59,19.25,19.28,24578796.0
2015-10-09,19.36,19.29,19.76,18.82,19.36,14960416.0
2015-10-12,18.89,19.41,20.33,18.59,18.89,43396492.0
2015-10-13,19.21,18.74,19.22,18.48,19.21,19995456.0
2015-10-14,18.63,19.21,19.21,18.54,18.63,17017892.0
2015-10-15,19.17,18.52,19.27,18.49,19.17,17015164.0
2015-10-16,19.25,19.35,19.86,19.0,19.25,20010848.0
2015-10-19,21.18,19.54,21.18,19.5,21.18,32339846.0
2015-10-20,21.04,21.88,21.91,20.5,21.04,32791304.0
2015-10-21,18.98,20.81,20.95,18.94,18.98,33837940.0
2015-10-22,19.52,19.0,19.8,18.33,19.52,30610724.0
2015-10-23,19.92,20.02,20.54,19.6,19.92,30170312.0
2015-10-26,21.91,20.33,21.91,19.94,21.91,63345852.0
2015-10-27,21.72,21.67,21.98,20.65,21.72,29527522.0
2015-10-28,21.86,21.69,22.78,21.39,21.86,30974624.0
2015-10-29,21.89,22.08,22.19,21.09,21.89,18826372.0
2015-10-30,21.32,21.65,22.16,20.91,21.32,18315036.0
2015-11-02,20.23,20.97,21.25,20.02,20.23,21754084.0
2015-11-03,20.81,20.27,21.03,19.83,20.81,20033248.0
2015-11-04,22.21,20.78,22.31,20.66,22.21,30879734.0
2015-11-05,21.38,21.92,22.08,21.35,21.38,26719180.0
2015-11-06,21.52,21.22,21.86,21.16,21.52,25136158.0
2015-11-09,22.75,21.33,23.21,21.19,22.75,35280368.0
2015-11-10,22.18,22.56,22.64,21.88,22.18,26070072.0
2015-11-11,21.86,22.24,22.56,21.41,21.86,26526980.0
2015-11-12,22.43,21.91,22.65,21.6,22.43,32235556.0
2015-11-13,22.46,22.24,23.77,21.66,22.46,40241196.0
2015-11-16,22.08,21.76,22.18,21.66,22.08,19533044.0
2015-11-17,21.57,22.34,22.43,21.19,21.57,30254836.0
2015-11-18,21.03,21.59,21.86,20.86,21.03,18785914.0
2015-11-19,21.73,21.13,21.82,20.81,21.73,17534924.0
2015-11-20,21.16,21.64,21.67,21.05,21.16,16942548.0
2015-11-23,20.62,20.97,21.28,20.56,20.62,17163188.0
2015-11-24,20.5,20.65,20.65,19.97,20.5,18726228.0
2015-11-25,20.69,20.4,20.87,20.28,20.69,15709262.0
2015-11-26,20.25,20.81,20.87,20.23,20.25,15634791.0
2015-11-27,19.16,20.03,20.47,19.06,19.16,20141180.0
2015-11-30,19.91,19.32,19.96,18.52,19.91,20318412.0
2015-12-01,19.68,19.9,19.91,19.49,19.68,9090449.0
